time,temperature_2m (°C),relativehumidity_2m (%),windspeed_10m (km/h)
2023-01-01T00:00,10.9,99,11.3
2023-01-01T01:00,10.6,99,7.4
2023-01-01T02:00,10.6,98,13.1
2023-01-01T03:00,10.4,96,16.0
2023-01-01T04:00,9.8,95,16.0
2023-01-01T05:00,9.1,95,15.8
2023-01-01T06:00,8.6,94,15.9
2023-01-01T07:00,7.9,94,13.2
2023-01-01T08:00,6.8,97,10.5
2023-01-01T09:00,8.0,94,11.9
2023-01-01T10:00,9.6,90,15.9
2023-01-01T11:00,10.6,84,16.1
2023-01-01T12:00,10.9,74,17.3
2023-01-01T13:00,11.5,68,16.6
2023-01-01T14:00,11.9,61,17.4
2023-01-01T15:00,11.9,57,15.9
2023-01-01T16:00,11.8,56,12.6
2023-01-01T17:00,10.2,65,6.1
2023-01-01T18:00,7.0,76,9.5
2023-01-01T19:00,5.4,83,9.4
2023-01-01T20:00,4.9,82,9.5
2023-01-01T21:00,6.2,83,11.9
2023-01-01T22:00,5.1,86,7.2
2023-01-01T23:00,5.8,83,7.0
2023-01-02T00:00,6.2,82,7.9
2023-01-02T01:00,6.5,83,5.4
2023-01-02T02:00,5.6,86,8.0
2023-01-02T03:00,4.6,90,7.7
2023-01-02T04:00,5.1,91,7.9
2023-01-02T05:00,4.7,91,8.7
2023-01-02T06:00,4.6,90,8.7
2023-01-02T07:00,4.6,90,7.7
2023-01-02T08:00,5.1,90,7.7
2023-01-02T09:00,5.8,89,6.3
2023-01-02T10:00,6.9,85,7.3
2023-01-02T11:00,8.4,83,5.8
2023-01-02T12:00,10.0,76,3.9
2023-01-02T13:00,11.1,71,2.9
2023-01-02T14:00,12.1,67,3.4
2023-01-02T15:00,12.6,66,6.0
2023-01-02T16:00,12.9,67,9.0
2023-01-02T17:00,11.2,76,6.5
2023-01-02T18:00,9.4,82,6.3
2023-01-02T19:00,8.5,86,6.0
2023-01-02T20:00,7.7,91,8.0
2023-01-02T21:00,8.9,87,6.8
2023-01-02T22:00,8.4,92,6.3
2023-01-02T23:00,8.6,92,4.5
2023-01-03T00:00,8.2,95,4.3
2023-01-03T01:00,8.4,96,5.5
2023-01-03T02:00,8.1,98,5.6
2023-01-03T03:00,8.1,97,7.4
2023-01-03T04:00,8.1,94,8.2
2023-01-03T05:00,8.0,93,5.6
2023-01-03T06:00,8.1,94,9.4
2023-01-03T07:00,7.6,97,5.4
2023-01-03T08:00,6.3,99,7.5
2023-01-03T09:00,7.9,98,6.9
2023-01-03T10:00,8.5,96,8.3
2023-01-03T11:00,9.3,97,5.5
2023-01-03T12:00,8.9,97,2.9
2023-01-03T13:00,8.9,98,7.1
2023-01-03T14:00,9.4,97,12.5
2023-01-03T15:00,10.2,97,14.1
2023-01-03T16:00,11.9,97,19.2
2023-01-03T17:00,12.6,97,19.4
2023-01-03T18:00,12.9,97,16.1
2023-01-03T19:00,12.8,97,14.5
2023-01-03T20:00,10.1,100,10.5
2023-01-03T21:00,11.4,99,10.5
